scenario,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_radius,selected_is_planted_group,n_search_cells
planted,split_search_naive,0.8,23,True,x1>2,"[0.00, 0.14]",0.88825608841697,1.9165605885246144,0.8840467352222507,False,559
planted,split_search_certified,0.8,23,False,x1>2,"[0.00, 0.14]",0.88825608841697,1.9165605885246144,0.8840467352222507,False,559
null,same_data_search,0.8,24,True,x0>1 & x1>1,"[0.86, 1.00]",0.901682796089931,1.0,2.1647701057447897,False,588
null,full_family_simultaneous,0.8,24,False,x0>1 & x1>1,"[0.86, 1.00]",0.901682796089931,1.0,2.1647701057447897,False,588
null,split_search_naive,0.8,24,True,x1>2,"[0.86, 1.00]",0.627227304515411,1.7238559152097415,0.9321504628134807,False,571
null,split_search_certified,0.8,24,False,x1>2,"[0.86, 1.00]",0.627227304515411,1.7238559152097415,0.9321504628134807,False,571
planted,same_data_search,0.8,24,True,x0>1 & x2>1,"[0.00, 0.14]",0.9349069951544378,2.588013210480031,1.3456389130101027,False,588
planted,full_family_simultaneous,0.8,24,True,x0>1,"[0.00, 0.14]",0.7129004130112964,20.8835989528698,0.47370624446983445,False,588
planted,split_search_naive,0.8,24,True,x3>2,"[0.00, 0.14]",0.38271746534618,3.4447991248573584,0.6594085138695548,False,571
planted,split_search_certified,0.8,24,False,x3>2,"[0.00, 0.14]",0.38271746534618,3.4447991248573584,0.6594085138695548,False,571
null,same_data_search,0.8,25,True,x2>2,"[0.71, 0.86]",0.6561034941857795,1.8053746979823044,1.6058374983897823,False,553
null,full_family_simultaneous,0.8,25,False,x2>2,"[0.71, 0.86]",0.6561034941857795,1.8053746979823044,1.6058374983897823,False,553
null,split_search_naive,0.8,25,False,x0>1 & x1>1,"[0.71, 0.86]",0.05447997555496569,3.8652488834178023,0.6225120601106513,False,536
null,split_search_certified,0.8,25,False,x0>1 & x1>1,"[0.71, 0.86]",0.05447997555496569,3.8652488834178023,0.6225120601106513,False,536
planted,same_data_search,0.8,25,True,x0>0.5 & x2>0.5,"[0.14, 0.29]",0.7968054992266276,3.348450577030134,1.179134439716607,False,553
planted,full_family_simultaneous,0.8,25,False,x0>0.5 & x2>0.5,"[0.14, 0.29]",0.7968054992266276,3.348450577030134,1.179134439716607,False,553
planted,split_search_naive,0.8,25,True,x0>0.5 & x2>0.5,"[0.14, 0.29]",0.7453106664449338,1.801941304000023,0.9117298653327398,False,536
